,Store Hours,Total Breweries
96,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 AM - Midnight""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sat"",""hour"":""10:00 AM - 1:00 AM""}]",2
97,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 11:00 PM""}]",2
98,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Sun - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 12:00 am""}]",2
99,"[{""day"":""Monday - Saturday"",""hour"":""11:00 am - 6:00 pm""}]",2
100,"[{""day"":""Sat"",""hour"":""Noon - 3:00 PM""}]",2
101,"[{""day"":""Monday - Sunday"",""hour"":""3:00 pm - 11:00 pm""}]",2
102,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 2:00 AM""},{""day"":""Saturday"",""hour"":""11:00 am - 2:00 am""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 2:00 AM""}]",2
103,"[{""day"":""Fri - Sat"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""}]",2
104,"[{""day"":""Sun"",""hour"":""01:00 PM-09:00 PM""}]",2
105,"[{""day"":""Monday - Sunday"",""hour"":""9:00 am - 9:00 pm""}]",2
106,"[{""day"":""Mon - Sun"",""hour"":""11:00 AM - 7:00 PM""}]",2
107,"[{""day"":""Mon - Sun"",""hour"":""11:00 AM - 2:00 AM""}]",2
108,"[{""day"":""Monday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Mon - Sat"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sun"",""hour"":""11:00 AM - Midnight""}]",2
109,"[{""day"":""Sun"",""hour"":""11:00 AM-05:00 PM""}]",2
110,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 9:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 10:00 PM""}]",2
111,"[{""day"":""Monday - Friday"",""hour"":""11:00 AM - 2:00 AM""},{""day"":""Saturday - Sunday"",""hour"":""10:00 AM - 2:00 AM""},{""day"":""Sat - Sun"",""hour"":""10:00 AM - 2:00 AM""},{""day"":""Mon - Fri"",""hour"":""11:00 AM - 2:00 AM""}]",2
112,"[{""day"":""Saturday"",""hour"":""11:00 am - 6:00 pm""},{""day"":""Sun - Sat"",""hour"":""11:00 am - 6:00 pm""}]",2
113,"[{""day"":""Monday - Sunday"",""hour"":""9:00 AM - 10:00 PM""}]",2
114,"[{""day"":""Monday - Saturday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Sunday"",""hour"":""11:00 AM - 9:00 PM""}]",2
115,"[{""day"":""Monday - Sunday"",""hour"":""11:00 am - 10:00 pm""}]",2
116,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""}]",2
117,"[{""day"":""Sat"",""hour"":""10:00 AM-05:00 PM""},{""day"":""Sun"",""hour"":""11:00 AM-04:00 PM""}]",2
118,"[{""day"":""Monday - Sunday"",""hour"":""10:00 am - 6:00 pm""}]",2
119,"[{""day"":""Monday - Friday"",""hour"":""3:00 PM - 2:00 AM""},{""day"":""Saturday - Sunday"",""hour"":""11:00 AM - 2:00 AM""},{""day"":""Sat - Sun"",""hour"":""11:00 AM - 2:00 AM""},{""day"":""Mon - Fri"",""hour"":""3:00 PM - 2:00 AM""}]",2
120,"[{""day"":""Mon - Sat"",""hour"":""11:00 am - 10:00 pm""},{""day"":""Mon - Sat"",""hour"":""11:00 AM - 10:00 PM""}]",2
121,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""9:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun"",""hour"":""9:00 AM - 10:00 PM""}]",2
122,"[{""day"":""Mon - Sat"",""hour"":""11:00 am - 10:00 pm""}]",2
123,"[{""day"":""Mon - Thu, Sun"",""hour"":""Noon - 9:00 PM""},{""day"":""Fri - Sat"",""hour"":""Noon - 10:00 PM""}]",2
124,"[{""day"":""Monday - Friday"",""hour"":""8:30 am - 5:00 pm""}]",2
125,"[{""day"":""Sun"",""hour"":""11:00 AM-10:00 PM""}]",2
126,"[{""day"":""Sun"",""hour"":""11:00 AM-06:00 PM""}]",2
127,"[{""day"":""Sun"",""hour"":""09:00 AM-10:00 PM""}]",2
128,"[{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 11:00 PM""}]",2
129,"[{""day"":""Mon - Sun"",""hour"":""10:30 AM - 4:30 PM""}]",2
130,"[{""day"":""Saturday - Sunday"",""hour"":""11:00 am - 4:00 pm""}]",2
131,"[{""day"":""Sun"",""hour"":""12:00 pm - 2:00 am""},{""day"":""Mon - Sat"",""hour"":""11:30 am - 2:00 am""}]",2
132,"[{""day"":""Wednesday - Sunday"",""hour"":""11:00 am - 5:00 pm""}]",2
133,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 - 00:00""},{""day"":""Mon - Thu"",""hour"":""11:00 - 00:00""},{""day"":""Fri"",""hour"":""11:00 - 01:00""},{""day"":""Sat"",""hour"":""10:00 - 01:00""}]",2
134,"[{""day"":""Mon"",""hour"":""11:00 AM-01:00 AM""},{""day"":""Sun"",""hour"":""11:30 AM-11:45 PM""},{""day"":""Fri"",""hour"":""11:00 AM-02:00 AM""},{""day"":""Sat"",""hour"":""11:30 AM-02:00 AM""},{""day"":""Thu"",""hour"":""11:00 AM-01:00 AM""},{""day"":""Wed"",""hour"":""11:00 AM-01:00 AM""},{""day"":""Tue"",""hour"":""11:00 AM-01:00 AM""}]",2
135,"[{""day"":""Saturday"",""hour"":""11:00 am - 1:00 am""}]",2
136,"[{""day"":""Monday - Sunday"",""hour"":""6:00 AM - 1:00 AM""},{""day"":""Mon - Sun"",""hour"":""6:00 AM - 1:00 AM""}]",2
137,"[{""day"":""Sun"",""hour"":""9:00 AM - 9:00 PM""},{""day"":""Mon - Sun"",""hour"":""9:00 AM - 10:00 PM""},{""day"":""Mon - Sat"",""hour"":""9:00 AM - 10:00 PM""}]",2
138,"[{""day"":""Fri - Sat"",""hour"":""7:00 AM - 11:00 PM""},{""day"":""Mon - Thu"",""hour"":""7:00 AM - 10:00 PM""}]",2
139,"[{""day"":""Monday - Sunday"",""hour"":""10:00 AM - 5:00 PM""},{""day"":""Mon - Sun"",""hour"":""10:00 AM - 5:00 PM""},{""day"":""Mon - Sun"",""hour"":""10:00 am - 5:00 pm""}]",2
140,"[{""day"":""Sun"",""hour"":""09:00 AM-09:00 PM""}]",2
141,"[{""day"":""Monday - Sunday"",""hour"":""11:30 AM - 10:00 PM""},{""day"":""Mon - Sun"",""hour"":""11:30 AM - 10:00 PM""}]",2
142,"[{""day"":""Sat"",""hour"":""11:00 AM-04:00 PM""}]",2
